# root=NDX expiry=2026-12-18 asof=2026-09-23 03:44:16 S0=30732.396 r=0.04 q=-0.00027207496743 T=0.235455167693 F=31025.1953296
K,P,C,source
9000,4.7,21823.431,P
10000,5.025,20833.13,P
11000,5.7,19843.179,P
12000,6.6,18853.453,P
12100,6.7,18754.491,P
12200,6.8,18655.528,P
12300,5.875,18555.54,P
12400,5.925,18456.528,P
12500,6.025,18357.565,P
12600,6.075,18258.553,P
12700,6.125,18159.54,P
12800,6.225,18060.577,P
12900,6.275,17961.565,P
13000,6.325,17862.552,P
13100,6.425,17763.59,P
13200,6.475,17664.577,P
13300,6.525,17565.564,P
13400,6.625,17466.602,P
13500,6.725,17367.639,P
13600,6.825,17268.677,P
13700,6.875,17169.664,P
13800,6.975,17070.701,P
13900,7.075,16971.739,P
14000,7.175,16872.776,P
14100,7.325,16773.864,P
14200,7.425,16674.901,P
14300,7.525,16575.938,P
14400,7.625,16476.976,P
14500,7.775,16378.063,P
14600,7.875,16279.101,P
14700,8.025,16180.188,P
14800,8.25,16081.35,P
14900,9.15,15983.188,P
15000,9.3,15884.275,P
15100,9.4,15785.313,P
15200,9.55,15686.4,P
15300,9.7,15587.487,P
15400,9.975,15488.7,P
15500,10.275,15389.937,P
15600,10.55,15291.15,P
15700,10.8,15192.337,P
15800,11.1,15093.574,P
15900,11.4,14994.812,P
16000,11.75,14896.099,P
16100,12.1,14797.387,P
16200,12.45,14698.674,P
16300,12.85,14600.011,P
16400,13.15,14501.249,P
16500,13.55,14402.586,P
16600,13.95,14303.924,P
16700,14.35,14205.261,P
16800,14.75,14106.598,P
16900,15.15,14007.936,P
17000,15.6,13909.323,P
17100,16.1,13810.761,P
17200,16.55,13712.148,P
17300,17.05,13613.585,P
17400,17.55,13515.023,P
17500,18.05,13416.46,P
17600,18.55,13317.898,P
17700,19.1,13219.385,P
17800,19.6,13120.822,P
17900,20.15,13022.31,P
18000,20.75,12923.847,P
18100,21.3,12825.335,P
18200,21.9,12726.872,P
18300,22.5,12628.409,P
18400,23.15,12529.997,P
18500,23.75,12431.534,P
18600,24.45,12333.172,P
18700,25.1,12234.759,P
18800,25.8,12136.396,P
18900,26.55,12038.084,P
19000,27.2,11939.671,P
19100,28,11841.409,P
19200,28.8,11743.146,P
19300,29.6,11644.883,P
19400,30.45,11546.671,P
19500,31.25,11448.408,P
19600,32.15,11350.246,P
19700,33,11252.033,P
19800,33.9,11153.87,P
19900,34.8,11055.708,P
20000,35.85,10957.695,P
20100,36.75,10859.533,P
20200,37.75,10761.47,P
20300,38.8,10663.457,P
20400,39.85,10565.445,P
20500,41.05,10467.582,P
20600,42.05,10369.52,P
20700,43.15,10271.557,P
20800,44.3,10173.644,P
