# root=RUT expiry=2026-12-18 asof=2026-09-19 03:44:14 S0=2860.3965 r=0.04 q=0.00837523210811 T=0.246406570842 F=2882.77335765
K,P,C,source
1250,0.5,1617.2594,P
1300,0.6,1567.8498,P
1350,0.7,1518.4401,P
1400,0.825,1469.0555,P
1450,0.95,1419.6709,P
1500,1.1,1370.3113,P
1550,1.275,1320.9767,P
1600,1.475,1271.6671,P
1650,1.725,1222.4075,P
1700,1.975,1173.1479,P
1750,2.225,1123.8883,P
1800,2.575,1074.7287,P
1850,2.95,1025.5941,P
1900,3.3,976.43446,P
1950,3.8,927.42486,P
2000,4.3,878.41525,P
2050,4.9,829.50564,P
2100,5.65,780.74603,P
2150,6.5,732.08643,P
2200,7.5,683.57682,P
2250,8.75,635.31721,P
2300,10.3,587.3576,P
2350,12.1,539.648,P
2400,14.45,492.48839,P
2450,17.35,445.87878,P
2500,20.9,399.91917,P
2550,25.5,355.00957,P
2600,31.25,311.24996,P
2610,32.6,302.69804,P
2620,34,294.19612,P
2630,35.4,285.69419,P
2640,36.9,277.29227,P
2650,38.5,268.99035,P
2660,40.15,260.73843,P
2670,41.95,252.63651,P
2680,43.75,244.53459,P
2690,45.65,236.53267,P
2700,47.65,228.63074,P
2710,49.75,220.82882,P
2720,51.9,213.0769,P
2730,54.2,205.47498,P
2740,56.55,197.92306,P
2750,59.15,190.62114,P
2760,61.6,183.16922,P
2770,64.3,175.96729,P
2780,67.15,168.91537,P
2790,70.1,161.96345,P
2800,73.2,155.16153,P
2810,76.4,148.45961,P
2820,79.75,141.90769,P
2830,83.2,135.45576,P
2840,86.85,129.20384,P
2850,90.65,123.10192,P
2860,94.6,117.15,P
2870,98.7,111.34808,P
2880,102.95,105.69616,P
2890,107.40576,100.25,C
2900,112.05769,95,C
2910,116.80961,89.85,C
2920,121.76153,84.9,C
2930,126.91345,80.15,C
2940,132.21537,75.55,C
2950,137.71729,71.15,C
2960,143.36922,66.9,C
2970,149.22114,62.85,C
2980,155.22306,58.95,C
2990,161.37498,55.2,C
3000,167.8269,51.75,C
3010,174.27882,48.3,C
3020,180.98074,45.1,C
3030,187.83267,42.05,C
3040,194.83459,39.15,C
3050,202.03651,36.45,C
3060,209.33843,33.85,C
3070,216.79035,31.4,C
3080,224.39227,29.1,C
3090,232.14419,26.95,C
3100,239.99612,24.9,C
3110,247.99804,23,C
3120,256.14996,21.25,C
3130,264.40188,19.6,C
3140,272.8038,18.1,C
3150,281.25572,16.65,C
3160,289.80765,15.3,C
3170,298.50957,14.1,C
3180,307.26149,12.95,C
3200,325.01533,10.9,C
3250,370.62494,7,C
3300,417.68455,4.55,C
3350,465.64415,3,C
3400,514.07876,1.925,C
3450,562.93837,1.275,C
3500,612.04798,0.875,C
3550,661.23258,0.55,C
3600,710.59219,0.4,C
3650,760.0268,0.325,C
3700,809.51141,0.3,C
