# root=SPX expiry=2026-12-18 asof=2026-09-23 03:56:05 S0=7764.6401 r=0.04 q=0.00106390621136 T=0.235455167693 F=7836.15132194
K,P,C,source
2800,0.525,4989.4675,P
2900,0.625,4890.5049,P
3000,0.65,4791.4673,P
3100,0.775,4692.5297,P
3200,0.85,4593.5421,P
3300,0.975,4494.6045,P
3400,1.075,4395.6419,P
3500,1.2,4296.7043,P
3600,1.35,4197.7917,P
3700,1.5,4098.8791,P
3800,1.65,3999.9665,P
3850,1.75,3950.5352,P
3900,1.825,3901.0789,P
3950,1.925,3851.6476,P
4000,2.025,3802.2163,P
4050,2.2,3752.86,P
4100,2.25,3703.3787,P
4125,2.3,3678.663,P
4150,2.35,3653.9474,P
4175,2.425,3629.2567,P
4200,2.475,3604.5411,P
4225,2.55,3579.8504,P
4250,2.6,3555.1348,P
4275,2.675,3530.4441,P
4300,2.725,3505.7285,P
4325,2.825,3481.0628,P
4350,2.9,3456.3722,P
4375,3,3431.7065,P
4400,3.025,3406.9659,P
4425,3.125,3382.3002,P
4450,3.2,3357.6096,P
4475,3.3,3332.9439,P
4500,3.35,3308.2283,P
4525,3.4,3283.5126,P
4550,3.5,3258.847,P
4575,3.6,3234.1813,P
4600,3.7,3209.5157,P
4625,3.8,3184.85,P
4650,3.9,3160.1844,P
4675,4,3135.5187,P
4700,4.1,3110.8531,P
4725,4.2,3086.1874,P
4750,4.3,3061.5218,P
4775,4.4,3036.8561,P
4800,4.5,3012.1905,P
4825,4.6,2987.5248,P
4850,4.7,2962.8592,P
4875,4.85,2938.2435,P
4900,4.95,2913.5779,P
4925,5.1,2888.9622,P
4950,5.2,2864.2966,P
4975,5.3,2839.6309,P
5000,5.45,2815.0153,P
5025,5.6,2790.3996,P
5050,5.7,2765.734,P
5075,5.85,2741.1183,P
5100,6,2716.5027,P
5125,6.15,2691.887,P
5150,6.3,2667.2714,P
5175,6.4,2642.6057,P
5200,6.6,2618.0401,P
5225,6.75,2593.4244,P
5250,6.9,2568.8088,P
5275,7.05,2544.1931,P
5300,7.25,2519.6275,P
5325,7.4,2495.0118,P
5350,7.55,2470.3962,P
5375,7.75,2445.8305,P
5400,7.95,2421.2649,P
5425,8.15,2396.6992,P
5450,8.35,2372.1336,P
5475,8.55,2347.5679,P
5500,8.75,2323.0023,P
5525,8.95,2298.4366,P
5550,9.15,2273.871,P
5575,9.35,2249.3053,P
5600,9.55,2224.7397,P
5625,9.85,2200.274,P
5650,10.05,2175.7084,P
5675,10.25,2151.1427,P
5700,10.55,2126.6771,P
5725,10.8,2102.1614,P
5750,11.05,2077.6458,P
5775,11.35,2053.1801,P
5800,11.6,2028.6645,P
5825,11.9,2004.1988,P
5850,12.2,1979.7332,P
5875,12.5,1955.2675,P
5900,12.8,1930.8019,P
5925,13.1,1906.3362,P
5950,13.5,1881.9706,P
5975,13.8,1857.5049,P
6000,14.15,1833.0892,P
6025,14.5,1808.6736,P
6050,14.85,1784.2579,P
6075,15.25,1759.8923,P
6100,15.65,1735.5266,P
6125,16.05,1711.161,P
6150,16.45,1686.7953,P
6175,16.85,1662.4297,P
6200,17.35,1638.164,P
6225,17.75,1613.7984,P
6250,18.25,1589.5327,P
6275,18.75,1565.2671,P
6300,19.25,1541.0014,P
6325,19.75,1516.7358,P
6350,20.35,1492.5701,P
6375,20.85,1468.3045,P
6400,21.45,1444.1388,P
6410,21.7,1434.4826,P
6420,21.95,1424.8263,P
6425,22.05,1419.9732,P
6430,22.2,1415.1701,P
6440,22.45,1405.5138,P
