# root=SPX expiry=2027-03-19 asof=2026-09-23 03:56:05 S0=7764.6401 r=0.04 q=-0.000412083898429 T=0.484599589322 F=7918.19903807
K,P,C,source
1600,0.65,6197.5565,P
1800,0.875,6001.621,P
2000,1.2,5805.7855,P
2200,1.55,5609.9749,P
2400,1.95,5414.2144,P
2600,2.475,5218.5789,P
2800,3.05,5022.9933,P
2900,3.4,4925.2631,P
3000,3.7,4827.4828,P
3100,4.1,4729.8025,P
3200,4.5,4632.1223,P
3300,4.9,4534.442,P
3400,5.4,4436.8617,P
3500,5.85,4339.2314,P
3600,6.35,4241.6512,P
3700,6.9,4144.1209,P
3800,7.45,4046.5906,P
3850,7.75,3997.8505,P
3900,8.1,3949.1604,P
3950,8.45,3900.4702,P
4000,8.75,3851.7301,P
4050,9.05,3802.99,P
4100,9.45,3754.3498,P
4150,9.85,3705.7097,P
4200,10.2,3657.0196,P
4250,10.55,3608.3294,P
4300,10.95,3559.6893,P
4350,11.4,3511.0992,P
4400,11.85,3462.509,P
4450,12.25,3413.8689,P
4500,12.7,3365.2788,P
4550,13.2,3316.7386,P
4600,13.7,3268.1985,P
4625,13.9,3243.8784,P
4650,14.2,3219.6584,P
4675,14.45,3195.3883,P
4700,14.7,3171.1182,P
4725,15,3146.8982,P
4750,15.25,3122.6281,P
4775,15.5,3098.358,P
4800,15.8,3074.138,P
4825,16.1,3049.9179,P
4850,16.4,3025.6978,P
4875,16.7,3001.4778,P
4900,17,2977.2577,P
4925,17.3,2953.0376,P
4950,17.6,2928.8176,P
4975,17.95,2904.6475,P
5000,18.25,2880.4274,P
5025,18.6,2856.2574,P
5050,18.95,2832.0873,P
5075,19.3,2807.9172,P
5100,19.65,2783.7472,P
5125,20,2759.5771,P
5150,20.35,2735.407,P
5175,20.75,2711.287,P
5200,21.15,2687.1669,P
5225,21.55,2663.0468,P
5250,21.95,2638.9268,P
5275,22.35,2614.8067,P
5300,22.75,2590.6866,P
5325,23.15,2566.5666,P
5350,23.65,2542.5465,P
5375,24.05,2518.4264,P
5400,24.55,2494.4064,P
5425,25,2470.3363,P
5450,25.45,2446.2662,P
5475,25.95,2422.2462,P
5500,26.45,2398.2261,P
5525,27,2374.256,P
5550,27.5,2350.236,P
5575,28.1,2326.3159,P
5600,28.6,2302.2958,P
5625,29.2,2278.3758,P
5650,29.8,2254.4557,P
5675,30.4,2230.5356,P
5700,31,2206.6156,P
5725,31.6,2182.6955,P
5750,32.25,2158.8254,P
5775,32.9,2134.9554,P
5800,33.6,2111.1353,P
5825,34.3,2087.3152,P
5850,35,2063.4952,P
5875,35.75,2039.7251,P
5900,36.45,2015.905,P
5925,37.25,1992.185,P
5950,38.05,1968.4649,P
5975,38.85,1944.7448,P
6000,39.7,1921.0748,P
6025,40.55,1897.4047,P
6050,41.45,1873.7846,P
6075,42.35,1850.1646,P
6100,43.35,1826.6445,P
6125,44.3,1803.0744,P
6150,45.3,1779.5544,P
6175,46.3,1756.0343,P
6200,47.35,1732.5642,P
6225,48.4,1709.0942,P
6250,49.5,1685.6741,P
6275,50.7,1662.354,P
6300,51.85,1638.9839,P
6325,53,1615.6139,P
6350,54.35,1592.4438,P
6375,55.6,1569.1737,P
6400,56.9,1545.9537,P
6425,58.25,1522.7836,P
6450,59.7,1499.7135,P
6475,61.1,1476.5935,P
6500,62.55,1453.5234,P
6525,64.15,1430.6033,P
6550,65.7,1407.6333,P
6575,67.3,1384.7132,P
6600,69,1361.8931,P
6625,70.65,1339.0231,P
6650,72.4,1316.253,P
6675,74.3,1293.6329,P
6700,76.2,1271.0129,P
6725,78.1,1248.3928,P
6750,80.15,1225.9227,P
6775,82.15,1203.4027,P
6800,84.35,1181.0826,P
6825,86.55,1158.7625,P
6850,88.75,1136.4425,P
6875,91.15,1114.3224,P
6900,93.55,1092.2023,P
6925,96.05,1070.1823,P
6950,98.65,1048.2622,P
6975,101.3,1026.3921,P
7000,104.05,1004.6221,P
7025,106.9,982.95201,P
7050,109.8,961.33194,P
7075,112.85,939.86187,P
7100,115.95,918.44181,P
7125,119.15,897.12174,P
7150,122.55,876.00167,P
7175,126,854.93161,P
7200,129.6,834.01154,P
7225,133.25,813.14147,P
7250,137.1,792.47141,P
7275,141,771.85134,P
7300,145.2,751.53127,P
7325,149.4,731.21121,P
7350,153.8,711.09114,P
7375,158.35,691.12107,P
7400,163.1,671.351,P
7425,167.95,651.68094,P
7450,173,632.21087,P
7475,178.2,612.8908,P
7500,183.6,593.77074,P
7525,189.25,574.90067,P
